GEOID20,COLOR,Client_Perspective,DISTRICT,DISTRICT_C,DISTRICT_N,District_Tax_rate,District_Valuation,FID,NAME,NAME2,NAME20,NCES_DISTR,Office_Controller,Pfluger_Tier_Rank,SDLEA
4814760,7,,047-901,047901,47901,0.1208,1411252531,336,Comanche ISD,Comanche,Comanche Independent School District,4814760,AUSTIN,,14760
4814790,3,c,130-902,130902,130902,0.2933,789061467,40,Comfort ISD,Comfort,Comfort Independent School District,4814790,SAN ANTONIO,1,14790
4814820,7,,116-903,116903,116903,0.5,2368200871,69,Commerce ISD,Commerce,Commerce Independent School District,4814820,DFW,,14820
4814850,1,,043-918,043918,43918,0.5,231899357,843,Community ISD,Community,Community Independent School District,4814850,DFW,,14850
4814880,7,,112-908,112908,112908,0,480378558,525,Como-Pickton Cons ISD,Como-Pickton Cons,Como-Pickton Consolidated Independent School District,4814880,DFW,,14880
4814920,6,,233-903,233903,233903,0,1057260671,333,Comstock ISD,Comstock,Comstock Independent School District,4814920,UNCATEGORIZED,,14920
4814970,1,,161-921,161921,161921,0.1444,51487007586,787,Connally ISD,Connally,Connally Independent School District,4814970,DFW,,14970
4815000,3,,170-902,170902,170902,0.26,164323206,604,Conroe ISD,Conroe,Conroe Independent School District,4815000,HOUSTON,,15000
4815120,7,,147-901,147901,147901,0.2101,434425251,782,Coolidge ISD,Coolidge,Coolidge Independent School District,4815120,DFW,,15120
4815150,6,,060-902,060902,60902,0.5,90408757,521,Cooper ISD,Cooper,Cooper Independent School District,4815150,DFW - LUBBOCK,,15150
4815180,5,,152-906,152906,152906,0.175,5107361457,263,Lubbock-Cooper ISD,Lubbock-Cooper,Lubbock-Cooper Independent School District,4815180,DFW - LUBBOCK,,15180
4815210,1,,057-922,057922,57922,0.2306,2036705852,853,Coppell ISD,Coppell,Coppell Independent School District,4815210,DFW,,15210
4815240,4,,050-910,050910,50910,0.17,n/a,634,Copperas Cove ISD,Copperas Cove,Copperas Cove Independent School District,4815240,DFW,,15240
4815270,4,C,178-904,178904,178904,0.28,532828464,358,Corpus Christi ISD,Corpus Christi,Corpus Christi Independent School District,4815270,CORPUS CHRISTI,3,15270
4815300,5,,187-904,187904,187904,0.18,2775143279,941,Corrigan-Camden ISD,Corrigan-Camden,Corrigan-Camden Independent School District,4815300,HOUSTON,,15300
4815330,5,,175-903,175903,175903,0.2553,40631498,610,Corsicana ISD,Corsicana,Corsicana Independent School District,4815330,DFW,,15330
4815360,3,,095-902,095902,95902,0,7296780624,28,Cotton Center ISD,Cotton Center,Cotton Center Independent School District,4815360,DFW - LUBBOCK,,15360
4815400,7,c,142-901,142901,142901,0.1185,309313814,692,Cotulla ISD,Cotulla,Cotulla Independent School District,4815400,SAN ANTONIO,1,15400
4815420,3,,246-914,246914,246914,0.0951,145788887,800,Coupland ISD,Coupland,Coupland Independent School District,4815420,AUSTIN,,15420
4815480,4,,109-903,109903,109903,0.0789,2397784776,330,Covington ISD,Covington,Covington Independent School District,4815480,DFW,,15480
4815510,7,,129-901,129901,129901,0.5,2891822133,394,Crandall ISD,Crandall,Crandall Independent School District,4815510,DFW,,15510
4815540,2,,052-901,052901,52901,0.0092,163250521,165,Crane ISD,Crane,Crane Independent School District,4815540,UNCATEGORIZED,,15540
4815570,2,,018-908,018908,18908,0,310746876,824,Cranfills Gap ISD,Cranfills Gap,Cranfills Gap Independent School District,4815570,AUSTIN,,15570
4815600,6,,161-901,161901,161901,0.2027,2502699447,834,Crawford ISD,Crawford,Crawford Independent School District,4815600,AUSTIN,,15600
4815690,4,,053-001,053001,53001,0.2,2832175941,284,Crockett County Cons CSD,Crockett County Cons CSD,Crockett County Consolidated Common School District,4815690,HOUSTON,,15690
4815720,5,,113-901,113901,113901,0.2,2832175941,485,Crockett ISD,Crockett,Crockett Independent School District,4815720,HOUSTON,,15720
4815750,2,,101-906,101906,101906,0.48,110459114,248,Crosby ISD,Crosby,Crosby Independent School District,4815750,HOUSTON,,15750
4815810,5,,030-901,030901,30901,0.4609,1314034584,475,Cross Plains ISD,Cross Plains,Cross Plains Independent School District,4815810,DFW - LUBBOCK,,15810
4815840,2,,107-904,107904,107904,0.1798,324560992,611,Cross Roads ISD,Cross Roads,Cross Roads Independent School District,4815840,DFW,,15840
4815870,6,,078-901,078901,78901,0.1,10876552371,585,Crowell ISD,Crowell,Crowell Independent School District,4815870,DFW,,15870
4815910,3,,220-912,220912,220912,0.5,1493320343,876,Crowley ISD,Crowley,Crowley Independent School District,4815910,DFW,,15910
4815930,6,,254-901,254901,254901,0.2886,1914155661,448,Crystal City ISD,Crystal City,Crystal City Independent School District,4815930,AUSTIN,,15930
4815960,3,,062-901,062901,62901,0.4637,7653783322,761,Cuero ISD,Cuero,Cuero Independent School District,4815960,SAN ANTONIO,,15960
4815990,3,,055-901,055901,55901,0,0,381,Culberson County-Allamoore ISD,Culberson County-Allamoore,Culberson County-Allamoore Independent School District,4815990,UNCATEGORIZED,,15990
4816020,3,,112-905,112905,112905,0.48,221011979,120,Cumby Collegiate ISD,Cumby Collegiate,Cumby Collegiate Independent School District,4816020,DFW,,16020
4816080,7,,174-902,174902,174902,0.26,74814536356,465,Cushing ISD,Cushing,Cushing Independent School District,4816080,DFW,,16080
4816110,3,,101-907,101907,101907,0.4,263888660,603,Cypress-Fairbanks ISD,Cypress-Fairbanks,Cypress-Fairbanks Independent School District,4816110,HOUSTON,,16110
4816140,6,,163-902,163902,163902,0.1225,774750537,196,D'Hanis ISD,D'Hanis,D'Hanis Independent School District,4816140,SAN ANTONIO,,16140
4816180,6,,172-902,172902,172902,0.0714,1490928586,662,Daingerfield-Lone Star ISD,Daingerfield-Lone Star,Daingerfield-Lone Star Independent School District,4816180,DFW,,16180
4816200,7,,056-901,056901,56901,0.25,212436668,577,Dalhart ISD,Dalhart,Dalhart Independent School District,4816200,DFW - LUBBOCK,,16200
4816230,2,C,057-905,057905,57905,0,164217248,973,Dallas ISD,Dallas,Dallas Independent School District,4816230,DFW,2,16230
4816260,6,,020-910,020910,20910,0.3309,447648991,549,Damon ISD,Damon,Damon Independent School District,4816260,HOUSTON,,16260
4816290,3,,020-904,020904,20904,0.5037,76246995,161,Danbury ISD,Danbury,Danbury Independent School District,4816290,HOUSTON,,16290
4816320,5,,148-905,148905,148905,0,97292384,329,Darrouzett ISD,Darrouzett,Darrouzett Independent School District,4816320,UNCATEGORIZED,,16320
4816350,2,,058-902,058902,58902,0.2341,299172676,50,Dawson ISD (Dawson),Dawson (Dawson),Dawson Independent School District,4816350,DFW - LUBBOCK,,16350
4816380,2,p,175-904,175904,175904,0.433,2555742879,303,Dawson ISD (Navarro),Dawson (Navarro),Dawson Independent School District,4816380,SAN ANTONIO,,16380
4816410,3,,146-902,146902,146902,0.1605,334942385,9,Dayton ISD,Dayton,Dayton Independent School District,4816410,HOUSTON,,16410
4816440,2,,047-902,047902,47902,0.13,392602571,497,De Leon ISD,De Leon,De Leon Independent School District,4816440,HOUSTON,,16440
4816500,5,,249-905,249905,249905,0.27,4300799845,849,Decatur ISD,Decatur,Decatur Independent School District,4816500,DFW,,16500
4816530,2,,101-908,101908,101908,0,3753179816,377,Deer Park ISD,Deer Park,Deer Park Independent School District,4816530,HOUSTON,,16530
4816570,1,,019-901,019901,19901,0.33,14065798416,661,DeKalb ISD,DeKalb,DeKalb Independent School District,4816570,DFW,,16570
4816620,4,C,227-910,227910,227910,0,12885835985,684,Del Valle ISD,Del Valle,Del Valle Independent School District,4816620,AUSTIN,1,16620
4816650,1,,115-903,115903,115903,0.3292,89020188,77,Dell City ISD,Dell City,Dell City Independent School District,4816650,UNCATEGORIZED,,16650
4816710,7,,091-903,091903,91903,0.48,3028529999,677,Denison ISD,Denison,Denison Independent School District,4816710,DFW,,16710
4816740,1,C,061-901,061901,61901,0.3854,29879312986,1001,Denton ISD,Denton,Denton Independent School District,4816740,DFW,2,16740
4816770,4,,251-901,251901,251901,0.3153,1733314651,237,Denver City ISD,Denver City,Denver City Independent School District,4816770,DFW - LUBBOCK,,16770
4816860,5,,057-906,057906,57906,0.2237,87557573,404,DeSoto ISD,DeSoto,DeSoto Independent School District,4816860,DFW,,16860
4816890,5,,194-905,194905,194905,0,244564382,559,Detroit ISD,Detroit,Detroit Independent School District,4816890,DFW,,16890
4816920,6,,146-903,146903,146903,0.24,711343053,257,Devers ISD,Devers,Devers Independent School District,4816920,HOUSTON,,16920
4816950,2,p,163-901,163901,163901,0.0465,251504869,90,Devine ISD,Devine,Devine Independent School District,4816950,SAN ANTONIO,,16950
4816980,5,,081-906,081906,81906,0.1567,634816204,145,Dew ISD,Dew,Dew Independent School District,4816980,DFW,,16980
4817010,3,,176-903,176903,176903,0.1567,634816204,958,Deweyville ISD,Deweyville,Deweyville Independent School District,4817010,DFW,,17010
4817040,4,,003-905,003905,3905,0.25,6395577801,855,Diboll ISD,Diboll,Diboll Independent School District,4817040,HOUSTON,,17040
4817070,6,,084-901,084901,84901,0.44,1404778473,576,Dickinson ISD,Dickinson,Dickinson Independent School District,4817070,HOUSTON,,17070
4817100,1,p,082-902,082902,82902,0.2138,197297096,405,Dilley ISD,Dilley,Dilley Independent School District,4817100,SAN ANTONIO,,17100
4817130,4,,144-903,144903,144903,0.2078,438600851,514,Dime Box ISD,Dime Box,Dime Box Independent School District,4817130,AUSTIN,,17130
4817160,2,,035-901,035901,35901,0.335,107499549,103,Dimmitt ISD,Dimmitt,Dimmitt Independent School District,4817160,DFW - LUBBOCK,,17160
4817190,6,,133-905,133905,133905,0,125597396,47,Divide ISD,Divide,Divide Independent School District,4817190,SAN ANTONIO,,17190
4817280,4,,074-904,074904,74904,0.25,2166955242,202,Dodd City ISD,Dodd City,Dodd City Independent School District,4817280,DFW,,17280
4817390,5,,108-902,108902,108902,0.147,77535662,387,Donna ISD,Donna,Donna Independent School District,4817390,CORPUS CHRISTI,,17390
4817400,3,,086-024,086024,86024,0,196470609,159,Doss Cons CSD,Doss Cons CSD,Doss Consolidated Common School District,4817400,AUSTIN,,17400
4817460,4,,174-911,174911,174911,0.3082,10668529298,259,Douglass ISD,Douglass,Douglass Independent School District,4817460,DFW,,17460
4817550,5,,178-905,178905,178905,0.4174,555350583,113,Driscoll ISD,Driscoll,Driscoll Independent School District,4817550,CORPUS CHRISTI,,17550
4817580,3,,072-902,072902,72902,0.1194,2355959925,93,Dublin ISD,Dublin,Dublin Independent School District,4817580,DFW,,17580
4817610,7,,171-901,171901,171901,0.4,6135476627,320,Dumas ISD,Dumas,Dumas Independent School District,4817610,UNCATEGORIZED,,17610
4817640,6,,057-907,057907,57907,0.32,14945287993,413,Duncanville ISD,Duncanville,Duncanville Independent School District,4817640,DFW,,17640
4817700,2,,220-918,220918,220918,0.5,3222205830,874,Eagle Mountain-Saginaw ISD,Eagle Mountain-Saginaw,Eagle Mountain-Saginaw Independent School District,4817700,DFW,,17700
4817730,3,,159-901,159901,159901,0.0681,21070480209,691,Eagle Pass ISD,Eagle Pass,Eagle Pass Independent School District,4817730,SAN ANTONIO,,17730
4817760,4,P,227-909,227909,227909,0.12,660968923,901,Eanes ISD,Eanes,Eanes Independent School District,4817760,AUSTIN,,17760
4817790,6,,025-909,025909,25909,0.335,552531169,95,Early ISD,Early,Early Independent School District,4817790,AUSTIN,,17790
4817830,1,,241-902,241902,241902,0.2254,7364997178,553,East Bernard ISD,East Bernard,East Bernard Independent School District,4817830,HOUSTON,,17830
4817850,5,p,015-911,015911,15911,0.216,418355191,946,East Central ISD,East Central,East Central Independent School District,4817850,SAN ANTONIO,,17850
4817880,2,,036-903,036903,36903,0.325,703070536,493,East Chambers ISD,East Chambers,East Chambers Independent School District,4817880,HOUSTON,,17880
4817960,1,,067-903,067903,67903,0.12,18351234763,79,Eastland ISD,Eastland,Eastland Independent School District,4817960,AUSTIN,,17960
4818000,4,,068-901,068901,68901,0.1153,475736595,598,Ector County ISD,Ector County,Ector County Independent School District,4818000,DFW,,18000
4818030,6,,074-905,074905,74905,0.1153,475736595,680,Ector ISD,Ector,Ector Independent School District,4818030,DFW,,18030
4818060,5,,108-903,108903,108903,0.2255,277873802,307,Edcouch-Elsa ISD,Edcouch-Elsa,Edcouch-Elsa Independent School District,4818060,CORPUS CHRISTI,,18060
4818070,1,,048-901,048901,48901,0.345,2206045888,43,Eden Cons ISD,Eden Cons,Eden Consolidated Independent School District,4818070,AUSTIN,,18070
4818120,7,,234-903,234903,234903,0.2156,406382542,190,Edgewood ISD (Van Zandt),Edgewood (Van Zandt),Edgewood Independent School District,4818120,SAN ANTONIO,,18120
4818150,1,,015-905,015905,15905,0.2156,406382542,898,Edgewood ISD (Bexar),Edgewood (Bexar),Edgewood Independent School District,4818150,SAN ANTONIO,,18150
4818180,4,,108-904,108904,108904,0.0858,820945403,923,Edinburg Cons ISD,Edinburg Cons,Edinburg Consolidated Independent School District,4818180,CORPUS CHRISTI,,18180
4818210,4,,120-901,120901,120901,0.1913,1505987755,468,Edna ISD,Edna,Edna Independent School District,4818210,CORPUS CHRISTI,,18210
4818280,2,,241-903,241903,241903,0.0717,17534836286,452,El Campo ISD,El Campo,El Campo Independent School District,4818280,HOUSTON,,18280
4818300,6,,071-902,071902,71902,0.3076,221734152,1009,El Paso ISD,El Paso,El Paso Independent School District,4818300,UNCATEGORIZED,,18300
4818330,1,,243-902,243902,243902,0.2894,2728645885,621,Electra ISD,Electra,Electra Independent School District,4818330,DFW,,18330
4818360,1,C,011-902,011902,11902,0.4682,388504491,799,Elgin ISD,Elgin,Elgin Independent School District,4818360,AUSTIN,3,18360
4818390,1,,001-903,001903,1903,0.25,212436668,529,Elkhart ISD,Elkhart,Elkhart Independent School District,4818390,DFW - LUBBOCK,,18390
4818480,3,,102-906,102906,102906,0.0393,4000574499,168,Elysian Fields ISD,Elysian Fields,Elysian Fields Independent School District,4818480,DFW,,18480
4818540,7,,070-903,070903,70903,0.46,408609689,126,Ennis ISD,Ennis,Ennis Independent School District,4818540,DFW,,18540
4818600,5,p,049-906,049906,49906,0.1238,512251655,367,Era ISD,Era,Era Independent School District,4818600,SAN ANTONIO,,18600
4818690,4,,030-906,030906,30906,0.1011,1161001862,374,Eula ISD,Eula,Eula Independent School District,4818690,UNCATEGORIZED,,18690
4818720,7,,107-905,107905,107905,0.2794,341695913,255,Eustace ISD,Eustace,Eustace Independent School District,4818720,DFW,,18720
4818750,6,,121-906,121906,121906,0.121,171600893,962,Evadale ISD,Evadale,Evadale Independent School District,4818750,HOUSTON,,18750
4818780,4,,050-901,050901,50901,0.2502,1071143700,821,Evant ISD,Evant,Evant Independent School District,4818780,DFW,,18780
4818810,5,,220-904,220904,220904,0.3751,45157755,877,Everman ISD,Everman,Everman Independent School District,4818810,DFW,,18810
4818840,4,,210-906,210906,210906,0,106300332,242,Excelsior ISD,Excelsior,Excelsior Independent School District,4818840,DFW,,18840
4818890,5,,143-906,143906,143906,0.2348,239146996,205,Ezzell ISD,Ezzell,Ezzell Independent School District,4818890,SAN ANTONIO,,18890
4818900,6,,071-903,071903,71903,0.3321,1684184952,906,Fabens ISD,Fabens,Fabens Independent School District,4818900,UNCATEGORIZED,,18900
4818940,4,,081-902,081902,81902,0.1562,1182922941,614,Fairfield ISD,Fairfield,Fairfield Independent School District,4818940,DFW,,18940
4819020,1,,128-904,128904,128904,0.5,127973124,325,Falls City ISD,Falls City,Falls City Independent School District,4819020,SAN ANTONIO,,19020
4819050,1,,060-914,060914,60914,0.08,1118739578,511,Fannindel ISD,Fannindel,Fannindel Independent School District,4819050,DFW,,19050
4819080,5,,043-904,043904,43904,0.3457,243540031,844,Farmersville ISD,Farmersville,Farmersville Independent School District,4819080,DFW,,19080
4819110,1,,185-902,185902,185902,0.3559,375914704,91,Farwell ISD,Farwell,Farwell Independent School District,4819110,DFW - LUBBOCK,,19110
4819140,3,,075-906,075906,75906,0.29,904355792,138,Fayetteville ISD,Fayetteville,Fayetteville Independent School District,4819140,AUSTIN,,19140
4819170,1,,070-905,070905,70905,0.3,600543401,271,Ferris ISD,Ferris,Ferris Independent School District,4819170,DFW,,19170
4819280,4,,075-901,075901,75901,0.163,905277648,767,Flatonia ISD,Flatonia,Flatonia Independent School District,4819280,AUSTIN,,19280
4819320,5,,246-902,246902,246902,0.349,1858518147,986,Florence ISD,Florence,Florence Independent School District,4819320,AUSTIN,,19320
4819350,1,p,247-901,247901,247901,0.2549,4372643741,949,Floresville ISD,Floresville,Floresville Independent School District,4819350,SAN ANTONIO,,19350
4819380,7,C,178-914,178914,178914,0.074,193463821,116,Flour Bluff ISD,Flour Bluff,Flour Bluff Independent School District,4819380,CORPUS CHRISTI,1,19380
4819440,1,,077-901,077901,77901,0.4872,135201101,736,Floydada Collegiate ISD,Floydada Collegiate,Floydada Collegiate Independent School District,4819440,DFW - LUBBOCK,,19440
4819500,2,,148-902,148902,148902,0.2014,195665386,806,Follett ISD,Follett,Follett Independent School District,4819500,UNCATEGORIZED,,19500
4819530,6,,169-910,169910,169910,0,9243141666,741,Forestburg ISD,Forestburg,Forestburg Independent School District,4819530,DFW,,19530
4819560,1,,129-902,129902,129902,0.5,825813825,392,Forney ISD,Forney,Forney Independent School District,4819560,DFW,,19560
4819620,4,,114-904,114904,114904,0.28,53598891807,403,Forsan ISD,Forsan,Forsan Independent School District,4819620,DFW - LUBBOCK,,19620
4819650,4,C,079-907,079907,79907,0.27,280331356,889,Fort Bend ISD,Fort Bend,Fort Bend Independent School District,4819650,HOUSTON,2,19650
4819700,7,C,220-905,220905,220905,0.292,1989208268,879,Fort Worth ISD,Fort Worth,Fort Worth Independent School District,4819700,DFW,1,19700
4819740,7,,198-903,198903,198903,0.2186,380815327,1013,Franklin ISD,Franklin,Franklin Independent School District,4819740,AUSTIN,,19740
4819770,4,,001-904,001904,1904,0.2606,6812391938,701,Frankston ISD,Frankston,Frankston Independent School District,4819770,DFW,,19770
4819820,3,,066-903,066903,66903,0.4852,6151981419,693,Freer ISD,Freer,Freer Independent School District,4819820,CORPUS CHRISTI,,19820
4819830,4,,152-907,152907,152907,0.48,4032260113,464,Frenship ISD,Frenship,Frenship Independent School District,4819830,DFW - LUBBOCK,,19830
4819840,5,p,086-901,086901,86901,0.1062,422230409,386,Fredericksburg ISD,Fredericksburg,Fredericksburg Independent School District,4819840,SAN ANTONIO,,19840
4819950,6,,084-911,084911,84911,0.2924,596919491,37,Friendswood ISD,Friendswood,Friendswood Independent School District,4819950,HOUSTON,,19950
4819980,6,,185-903,185903,185903,0.334,58313869988,105,Friona ISD,Friona,Friona Independent School District,4819980,DFW - LUBBOCK,,19980
4820010,4,,043-905,043905,43905,0.27,274465948,998,Frisco ISD,Frisco,Frisco Independent School District,4820010,DFW,,20010
4820040,4,,175-905,175905,175905,0.244,90013937,117,Frost ISD,Frost,Frost Independent School District,4820040,DFW,,20040
4820070,6,,234-909,234909,234909,0.1399,1709803259,355,Fruitvale ISD,Fruitvale,Fruitvale Independent School District,4820070,DFW,,20070
4820100,2,,122-901,122901,122901,0,1109381519,223,Fort Davis ISD,Fort Davis,Fort Davis Independent School District,4820100,UNCATEGORIZED,,20100
4820130,6,,115-901,115901,115901,0.031,3969497536,907,Fort Hancock ISD,Fort Hancock,Fort Hancock Independent School District,4820130,UNCATEGORIZED,,20130
4820160,7,,015-914,015914,15914,0.1667,512754915,922,Fort Sam Houston ISD,Fort Sam Houston,Fort Sam Houston Independent School District,4820160,HOUSTON,,20160
4820190,7,,186-902,186902,186902,0.2454,51957164745,236,Fort Stockton ISD,Fort Stockton,Fort Stockton Independent School District,4820190,UNCATEGORIZED,,20190
4820220,2,,049-901,049901,49901,0.08,13257246210,230,Gainesville ISD,Gainesville,Gainesville Independent School District,4820220,DFW,,20220
4820250,3,C,101-910,101910,101910,0.3114,13800337457,76,Galena Park ISD,Galena Park,Galena Park Independent School District,4820250,HOUSTON,2,20250
4820280,2,,084-902,084902,84902,0.1704,655907438,575,Galveston ISD,Galveston,Galveston Independent School District,4820280,HOUSTON,,20280
4820310,3,,120-902,120902,120902,0.3163,27037019058,224,Ganado ISD,Ganado,Ganado Independent School District,4820310,CORPUS CHRISTI,,20310
4820340,6,,057-909,057909,57909,0.3179,288180319,975,Garland ISD,Garland,Garland Independent School District,4820340,DFW,,20340
4820370,5,,184-911,184911,184911,0.0626,171457066,293,Garner ISD,Garner,Garner Independent School District,4820370,DFW,,20370
4820400,5,,174-903,174903,174903,0.32,207961455,509,Garrison ISD,Garrison,Garrison Independent School District,4820400,DFW,,20400
4820460,6,,183-904,183904,183904,0.48,1111254605,220,Gary ISD,Gary,Gary Independent School District,4820460,DFW,,20460
4820500,5,,050-902,050902,50902,0.2,313946926,829,Gatesville ISD,Gatesville,Gatesville Independent School District,4820500,AUSTIN,,20500
4820520,2,,166-902,166902,166902,0,1103284733,1011,Gause ISD,Gause,Gause Independent School District,4820520,AUSTIN,,20520
4820550,4,,149-901,149901,149901,0.2493,18239277651,193,George West ISD,George West,George West Independent School District,4820550,CORPUS CHRISTI,,20550
4820600,7,C,246-904,246904,246904,0.329,83809001,978,Georgetown ISD,Georgetown,Georgetown Independent School District,4820600,AUSTIN,2,20600
4820610,4,,161-925,161925,161925,0,1251346804,775,Gholson ISD,Gholson,Gholson Independent School District,4820610,DFW,,20610
4820640,1,,144-901,144901,144901,0.2,1214845226,382,Giddings ISD,Giddings,Giddings Independent School District,4820640,AUSTIN,,20640
4820700,7,,230-902,230902,230902,0.3066,722006799,714,Gilmer ISD,Gilmer,Gilmer Independent School District,4820700,DFW,,20700
4820760,1,,092-901,092901,92901,0.1567,634816204,724,Gladewater ISD,Gladewater,Gladewater Independent School District,4820760,DFW,,20760
4820790,6,,087-901,087901,87901,0.0754,3885540979,597,Glasscock County ISD,Glasscock,Glasscock County Independent School District,4820790,UNCATEGORIZED,,20790
4820850,2,,213-901,213901,213901,0.1204,1751114388,633,Glen Rose ISD,Glen Rose,Glen Rose Independent School District,4820850,DFW,,20850
4820960,2,,126-911,126911,126911,0.5,178125540,878,Godley ISD,Godley,Godley Independent School District,4820960,DFW,,20960
4820970,6,,169-906,169906,169906,0,556802027,740,Gold-Burg ISD,Gold-Burg,Gold-Burg Independent School District,4820970,DFW,,20970
4821000,7,,167-901,167901,167901,0.2441,1127633876,542,Goldthwaite Cons ISD,Goldthwaite Cons,Goldthwaite Consolidated Independent School District,4821000,AUSTIN,,21000
4821030,7,,088-902,088902,88902,0.135,2658698993,537,Goliad ISD,Goliad,Goliad Independent School District,4821030,CORPUS CHRISTI,,21030
4821060,4,p,089-901,089901,89901,0.0698,194518487,769,Gonzales ISD,Gonzales,Gonzales Independent School District,4821060,SAN ANTONIO,,21060
4821090,5,,187-903,187903,187903,0.0886,16848935824,935,Goodrich ISD,Goodrich,Goodrich Independent School District,4821090,HOUSTON,,21090
4821150,3,C,101-911,101911,101911,0.325,228994717,491,Goose Creek Consolidated ISD,Goose Creek Cons,Goose Creek Consolidated Independent School District,4821150,HOUSTON,1,21150
4821180,3,,182-901,182901,182901,0.3325,231295573,213,Gordon ISD,Gordon,Gordon Independent School District,4821180,DFW,,21180
4821270,3,,067-904,067904,67904,0.1534,9938699072,78,Gorman ISD,Gorman,Gorman Independent School District,4821270,AUSTIN,,21270
4821300,3,,156-905,156905,156905,0.1054,1735557373,3,Grady ISD,Grady,Grady Independent School District,4821300,DFW - LUBBOCK,,21300
4821330,3,,182-902,182902,182902,0.0497,860351417,277,Graford ISD,Graford,Graford Independent School District,4821330,DFW,,21330
4821360,2,,252-901,252901,252901,0.3106,8732896044,420,Graham ISD,Graham,Graham Independent School District,4821360,DFW,,21360
4821390,4,,111-901,111901,111901,0.145,11995293599,852,Granbury ISD,Granbury,Granbury Independent School District,4821390,DFW,,21390
4821420,5,,057-910,057910,57910,0.3641,461197173,865,Grand Prairie ISD,Grand Prairie,Grand Prairie Independent School District,4821420,DFW,,21420
4821450,1,,234-904,234904,234904,0.23,168646639,653,Grand Saline ISD,Grand Saline,Grand Saline Independent School District,4821450,DFW,,21450
4821480,4,,238-904,238904,238904,0.3588,4503406364,156,Grandfalls-Royalty ISD,Grandfalls-Royalty,Grandfalls-Royalty Independent School District,4821480,HOUSTON,,21480
4821540,1,,126-904,126904,126904,0.2513,114906925,432,Grandview ISD,Grandview,Grandview Independent School District,4821540,DFW,,21540
4821560,2,,090-905,090905,90905,0.2513,114906925,5,Grandview-Hopkins ISD,Grandview-Hopkins,Grandview-Hopkins Independent School District,4821560,DFW,,21560
4821590,6,P,246-905,246905,246905,0.35,432886521,982,Granger ISD,Granger,Granger Independent School District,4821590,AUSTIN,,21590
4821600,4,,226-907,226907,226907,0.1868,520365264,321,Grape Creek ISD,Grape Creek,Grape Creek Independent School District,4821600,UNCATEGORIZED,,21600
4821630,7,,113-902,113902,113902,0.155,18707359523,486,Grapeland ISD,Grapeland,Grapeland Independent School District,4821630,HOUSTON,,21630
4821660,7,,220-906,220906,220906,0.2217,3802533489,859,Grapevine-Colleyville ISD,Grapevine-Colleyville,Grapevine-Colleyville Independent School District,4821660,DFW,,21660
4821720,4,,116-905,116905,116905,0.2384,6343554754,373,Greenville ISD,Greenville,Greenville Independent School District,4821720,DFW,,21720
4821750,5,,165-902,165902,165902,0.1153,3009603205,599,Greenwood ISD,Greenwood,Greenwood Independent School District,4821750,UNCATEGORIZED,,21750
4821780,7,C,205-902,205902,205902,0.25,1705270357,269,Gregory-Portland ISD,Gregory-Portland,Gregory-Portland Independent School District,4821780,CORPUS CHRISTI,1,21780
4821810,5,,147-902,147902,147902,0.2375,120178606,776,Groesbeck ISD,Groesbeck,Groesbeck Independent School District,4821810,AUSTIN,,21810
4821840,3,,033-901,033901,33901,0.33,408875804,483,Groom ISD,Groom,Groom Independent School District,4821840,UNCATEGORIZED,,21840
4821900,4,,228-901,228901,228901,0,379784260,938,Groveton ISD,Groveton,Groveton Independent School District,4821900,HOUSTON,,21900
4821930,4,,098-901,098901,98901,0.4166,867150916,500,Gruver ISD,Gruver,Gruver Independent School District,4821930,UNCATEGORIZED,,21930
4821960,4,,091-917,091917,91917,0.5,123348806,988,Gunter ISD,Gunter,Gunter Independent School District,4821960,DFW,,21960
4821990,6,,047-903,047903,47903,0.0738,235190870,365,Gustine ISD,Gustine,Gustine Independent School District,4821990,AUSTIN,,21990
4822020,2,,135-001,135001,135001,0.28,101653620,583,Guthrie CSD,Guthrie CSD,Guthrie Common School District,4822020,DFW - LUBBOCK,,22020
4822050,5,,095-903,095903,95903,0.2857,1077569270,29,Hale Center ISD,Hale Center,Hale Center Independent School District,4822050,DFW - LUBBOCK,,22050
4822120,1,,143-901,143901,143901,0.1846,124377965,760,Hallettsville ISD,Hallettsville,Hallettsville Independent School District,4822120,HOUSTON,,22120
4822140,6,,161-924,161924,161924,0.1126,3416755003,785,Hallsburg ISD,Hallsburg,Hallsburg Independent School District,4822140,DFW,,22140
4822170,3,,102-904,102904,102904,0.115,603734054,169,Hallsville ISD,Hallsville,Hallsville Independent School District,4822170,DFW,,22170
4822230,1,,097-902,097902,97902,0,192254976,820,Hamilton ISD,Hamilton,Hamilton Independent School District,4822230,AUSTIN,,22230
4822260,1,,127-903,127903,127903,0.2767,886778040,359,Hamlin Collegiate ISD,Hamlin Collegiate,Hamlin Collegiate Independent School District,4822260,UNCATEGORIZED,,22260
4822320,6,,123-914,123914,123914,0.3302,111966924,177,Hamshire-Fannett ISD,Hamshire-Fannett,Hamshire-Fannett Independent School District,4822320,HOUSTON,,22320
4822350,5,,219-901,219901,219901,0,699291381,210,Happy ISD,Happy,Happy Independent School District,4822350,DFW - LUBBOCK,,22350
4822380,4,,146-904,146904,146904,0.2349,1328655369,933,Hardin ISD,Hardin,Hardin Independent School District,4822380,HOUSTON,,22380
